intersect,genes
Cg25,ENSG00000163126
Cg25,ENSG00000124172
Cg25,ENSG00000112062
Cg25,ENSG00000131725
Cg25,ENSG00000180817
Cg25,ENSG00000151572
Cg25,ENSG00000164929
Cg25,ENSG00000187243
Cg25,ENSG00000166478
Cg25,ENSG00000196169
Cg25,ENSG00000042317
Cg25,ENSG00000250486
Cg25,ENSG00000139793
Cg25,ENSG00000165219
Cg25,ENSG00000106013
Cg25,ENSG00000100884
Cg25,ENSG00000154864
Cg25,ENSG00000091656
Cg25,ENSG00000064933
Cg25,ENSG00000107679
Cg25,ENSG00000107798
Cg25,ENSG00000255154
Cg25,ENSG00000099840
Cg25,ENSG00000165995
Cg25,ENSG00000167380
Cg25,ENSG00000136108
Cg25,ENSG00000171298
Cg25,ENSG00000198569
Cg25,ENSG00000111877
Cg25,ENSG00000180815
Cg25,ENSG00000281106
Cg25,ENSG00000140395
Cg25,ENSG00000099998
Cg25,ENSG00000135535
Cg25,ENSG00000134574
Cg25,ENSG00000125864
Cg25,ENSG00000186470
Cg25,ENSG00000196476
Cg25,ENSG00000196118
Cg25,ENSG00000151725
Cg25,ENSG00000176108
Cg25,ENSG00000172409
Cg25,ENSG00000180178
Cg25,ENSG00000068438
Cg25,ENSG00000111087
Cg25,ENSG00000180573
Cg25,ENSG00000004776
Cg25,ENSG00000034152
Cg25,ENSG00000101608
Cg25,ENSG00000173376
Cg25,ENSG00000184207
Cg25,ENSG00000149809
Cg25,ENSG00000115282
Cg25,ENSG00000184009
Cg25,ENSG00000140873
Cg25,ENSG00000173567
Cg25,ENSG00000112414
Cg25,ENSG00000162618
Cg25,ENSG00000106624
Cg25,ENSG00000180777
Cg25,ENSG00000057663
Cg25,ENSG00000139044
Cg25,ENSG00000235505
Cg25,ENSG00000141570
Cg25,ENSG00000134057
Cg25,ENSG00000107443
Cg25,ENSG00000116815
Cg25,ENSG00000166091
Cg25,ENSG00000102879
Cg25,ENSG00000116133
Cg25,ENSG00000134516
Cg25,ENSG00000100129
Cg25,ENSG00000240445
Cg25,ENSG00000105255
Cg25,ENSG00000226124
Cg25,ENSG00000167674
Cg25,ENSG00000102241
Cg25,ENSG00000148943
Cg25,ENSG00000146006
Cg25,ENSG00000168067
Cg25,ENSG00000090971
Cg25,ENSG00000178685
Cg25,ENSG00000174827
Cg25,ENSG00000183571
Cg25,ENSG00000166428
Cg25,ENSG00000163932
Cg25,ENSG00000204628
Cg25,ENSG00000117602
Cg25,ENSG00000137275
Cg25,ENSG00000164610
Cg25,ENSG00000149273
Cg25,ENSG00000063015
Cg25,ENSG00000167447
Cg25,ENSG00000250317
Cg25,ENSG00000077312
Cg25,ENSG00000162236
Cg25,ENSG00000132604
Cg25,ENSG00000145107
Cg25,ENSG00000118271
Cg25,ENSG00000140367
Cg25,ENSG00000167671
Cg25,ENSG00000111186
Cg25,ENSG00000198538
dlPFC,ENSG00000197779
dlPFC,ENSG00000213170
dlPFC,ENSG00000236474
dlPFC,ENSG00000254512
dlPFC,ENSG00000174501
dlPFC,ENSG00000183638
