intersect,genes
DTE,ENSG00000197746
DTE,ENSG00000106615
DTE,ENSG00000155980
DTE,ENSG00000104904
DTE,ENSG00000116288
DTE,ENSG00000277053
DTE,ENSG00000168291
DTE,ENSG00000104133
DTE,ENSG00000198855
DTE,ENSG00000049540
DTE,ENSG00000099203
DTE,ENSG00000111011
DTE,ENSG00000153253
DTE,ENSG00000149972
DTE,ENSG00000117118
DTE,ENSG00000109846
DTE,ENSG00000173812
DTE,ENSG00000111057
DTE,ENSG00000136943
DTE,ENSG00000073921
DTE,ENSG00000100280
DTE,ENSG00000164535
DTE,ENSG00000102316
DTE,ENSG00000182552
DTE,ENSG00000135404
DTE,ENSG00000177628
DTE,ENSG00000229415
DTE,ENSG00000112701
DTE,ENSG00000140990
DTE,ENSG00000275111
DTE,ENSG00000163001
DTE,ENSG00000170142
DTE,ENSG00000106028
DTE,ENSG00000154114
DTE,ENSG00000239713
DTE,ENSG00000140350
DTE,ENSG00000197894
DTE,ENSG00000197043
DTE,ENSG00000092841
DTE,ENSG00000243989
DTE,ENSG00000139168
DTE,ENSG00000269858
DTE,ENSG00000147724
DTE,ENSG00000091138
DTE,ENSG00000127445
DTE,ENSG00000146067
DTE,ENSG00000148110
DTE,ENSG00000008988
DTE,ENSG00000167302
DTE,ENSG00000161970
DTE,ENSG00000205707
DTE,ENSG00000180198
DTE,ENSG00000054523
DTE,ENSG00000065154
DTE,ENSG00000104408
DTE,ENSG00000164970
DTE,ENSG00000125124
DTE,ENSG00000204962
DTE,ENSG00000171680
DTE,ENSG00000128591
DTE,ENSG00000180747
DTE,ENSG00000110321
DTE,ENSG00000197579
DTE,ENSG00000185917
DTE,ENSG00000168522
DTE,ENSG00000196678
DTE,ENSG00000241468
DTE,ENSG00000171988
DTE,ENSG00000108599
DTE,ENSG00000242485
DTE,ENSG00000197265
DTE,ENSG00000139531
DTE,ENSG00000143575
DTE,ENSG00000155111
DTE,ENSG00000148950
DTE,ENSG00000184343
DTE,ENSG00000159461
DTE,ENSG00000205423
DTE,ENSG00000135049
DTE,ENSG00000129946
DTE,ENSG00000138459
DTE,ENSG00000219200
DTE,ENSG00000111832
DTE,ENSG00000183576
DTE,ENSG00000115827
DTE,ENSG00000101843
DTE,ENSG00000158428
DTE,ENSG00000105866
DTE,ENSG00000198561
DTE,ENSG00000179593
DTE,ENSG00000125818
DTE,ENSG00000145888
DTE,ENSG00000173402
DTE,ENSG00000197050
DTE,ENSG00000106302
DTE,ENSG00000131778
DTE,ENSG00000127184
DTE,ENSG00000230359
DTE,ENSG00000242247
DTE,ENSG00000196166
DTE,ENSG00000171551
DTE,ENSG00000100380
DTE,ENSG00000127838
DTE,ENSG00000005700
DTE,ENSG00000165269
DTE,ENSG00000138760
DTE,ENSG00000198088
DTE,ENSG00000164265
DTE,ENSG00000164978
DTE,ENSG00000118473
DTE,ENSG00000113048
DTE,ENSG00000104679
DTE,ENSG00000115310
DTE,ENSG00000122591
DTE,ENSG00000213246
DTE,ENSG00000171992
DTE,ENSG00000119547
DTE,ENSG00000165376
DTE,ENSG00000148481
DTE,ENSG00000113013
DTE,ENSG00000089876
DTE,ENSG00000111254
DTE,ENSG00000068796
DTE,ENSG00000150756
DTE,ENSG00000105248
DTE,ENSG00000214253
DTE,ENSG00000005238
DTE,ENSG00000086200
DTE,ENSG00000145506
DTE,ENSG00000036565
DTE,ENSG00000074201
DTE,ENSG00000101940
DTE,ENSG00000167962
DTE,ENSG00000213782
DTE,ENSG00000143420
DTE,ENSG00000171503
DTE,ENSG00000146729
DTE,ENSG00000143774
DTE,ENSG00000147669
DTE,ENSG00000151952
DTE,ENSG00000088367
DTE,ENSG00000095139
DTE,ENSG00000182768
DTE,ENSG00000063244
DTE,ENSG00000167740
DTE,ENSG00000163512
DTE,ENSG00000012061
DTE,ENSG00000171033
DTE,ENSG00000134313
DTE,ENSG00000166979
DTE,ENSG00000001617
DTE,ENSG00000170579
DTE,ENSG00000099960
DTE,ENSG00000165874
