intersect,genes
female,ENSG00000138760
female,ENSG00000198088
female,ENSG00000164265
female,ENSG00000164978
female,ENSG00000118473
female,ENSG00000113048
female,ENSG00000104679
female,ENSG00000115310
female,ENSG00000122591
female,ENSG00000213246
female,ENSG00000171992
female,ENSG00000119547
female,ENSG00000165376
female,ENSG00000148481
female,ENSG00000113013
female,ENSG00000089876
female,ENSG00000111254
female,ENSG00000068796
female,ENSG00000150756
female,ENSG00000105248
female,ENSG00000214253
female,ENSG00000005238
female,ENSG00000086200
female,ENSG00000145506
female,ENSG00000036565
female,ENSG00000074201
female,ENSG00000101940
female,ENSG00000167962
female,ENSG00000213782
female,ENSG00000143420
female,ENSG00000171503
female,ENSG00000146729
female,ENSG00000143774
female,ENSG00000147669
female,ENSG00000151952
female,ENSG00000088367
female,ENSG00000095139
female,ENSG00000182768
female,ENSG00000063244
female,ENSG00000167740
female,ENSG00000163512
female,ENSG00000012061
female,ENSG00000171033
female,ENSG00000134313
female,ENSG00000166979
female,ENSG00000001617
female,ENSG00000196839
female,ENSG00000061987
female,ENSG00000154429
female,ENSG00000187094
female,ENSG00000161981
female,ENSG00000124357
female,ENSG00000123473
female,ENSG00000272636
female,ENSG00000170324
female,ENSG00000167779
female,ENSG00000130751
female,ENSG00000073282
female,ENSG00000165685
female,ENSG00000198838
female,ENSG00000119125
female,ENSG00000197013
female,ENSG00000104313
female,ENSG00000172508
female,ENSG00000198121
female,ENSG00000138435
female,ENSG00000175344
female,ENSG00000141744
female,ENSG00000196553
female,ENSG00000104763
female,ENSG00000250486
female,ENSG00000139793
female,ENSG00000165219
female,ENSG00000106013
female,ENSG00000100884
female,ENSG00000154864
female,ENSG00000091656
female,ENSG00000064933
female,ENSG00000107679
female,ENSG00000107798
female,ENSG00000255154
female,ENSG00000099840
female,ENSG00000165995
female,ENSG00000167380
female,ENSG00000136108
female,ENSG00000171298
female,ENSG00000198569
female,ENSG00000111877
female,ENSG00000180815
female,ENSG00000281106
female,ENSG00000140395
female,ENSG00000099998
female,ENSG00000135535
female,ENSG00000134574
female,ENSG00000180901
female,ENSG00000205129
female,ENSG00000100350
female,ENSG00000108387
female,ENSG00000165675
female,ENSG00000140939
female,ENSG00000165458
female,ENSG00000079432
female,ENSG00000027075
female,ENSG00000020181
female,ENSG00000184110
female,ENSG00000180537
female,ENSG00000100473
female,ENSG00000167371
female,ENSG00000100351
female,ENSG00000125409
female,ENSG00000127980
female,ENSG00000253304
female,ENSG00000139517
female,ENSG00000286140
female,ENSG00000147509
female,ENSG00000088727
female,ENSG00000224916
female,ENSG00000161921
female,ENSG00000251192
female,ENSG00000107789
female,ENSG00000162599
female,ENSG00000196072
female,ENSG00000067048
female,ENSG00000103569
female,ENSG00000174576
female,ENSG00000205581
female,ENSG00000187147
female,ENSG00000099625
female,ENSG00000178585
female,ENSG00000280670
female,ENSG00000104894
female,ENSG00000163793
female,ENSG00000051620
female,ENSG00000206053
female,ENSG00000242114
female,ENSG00000243678
female,ENSG00000188599
